# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.6797   0.6120   0.2660   Upper   A ^ -> Y v    add_1942_26_g2687
0.6797   0.6120   0.1768   Upper   A ^ -> Y v    g134173
0.6696   0.6120   0.2955   Upper   A ^ -> Y v    add_1942_26_g2692
0.6696   0.6120   0.3574   Upper   A ^ -> Y v    add_1942_26_g2690
0.6698   0.6120   0.3593   Upper   A ^ -> Y v    add_1942_26_g2723
0.6698   0.6120   0.2418   Upper   A ^ -> Y v    add_1942_26_g2715
0.6698   0.6120   0.2027   Upper   B ^ -> Y v    g134425
0.6698   0.6120   0.1453   Upper   AN ^ -> Y ^    g134417
0.6272   0.6120   0.2750   Upper   A ^ -> Y v    add_1942_26_g2710
0.6272   0.6120   0.2642   Upper   A ^ -> Y v    add_1942_26_g2694
0.6272   0.6120   0.1802   Upper   A ^ -> Y v    g134190
0.6618   0.6120   0.3255   Upper   A ^ -> Y v    add_1942_26_g2696
0.6618   0.6120   0.3009   Upper   A ^ -> Y v    add_1942_26_g2691
0.6618   0.6120   0.1746   Upper   A ^ -> Y v    g134273
0.6612   0.6120   0.2563   Upper   A ^ -> Y v    add_1942_26_g2722
0.6612   0.6120   0.2451   Upper   A ^ -> Y v    add_1942_26_g2703
0.7203   0.6120   0.2274   Upper   A ^ -> Y v    g75929__8246
0.6641   0.6120   0.2184   Upper   A ^ -> Y v    g75901__8246
0.6423   0.6120   0.3138   Upper   A ^ -> Y v    g76011
0.6423   0.6120   0.2067   Upper   B ^ -> Y v    g75932__1881
0.6899   0.6120   0.2214   Upper   A ^ -> Y v    g75932__1881
0.6150   0.6120   0.1088   Upper   A v -> Y v    add_1942_26_g2709
0.6150   0.6120   0.2304   Upper   A v -> Y ^    add_1942_26_g2679
0.6288   0.6120   0.2047   Upper   A ^ -> Y v    g75931__6131
0.6305   0.6120   0.2054   Upper   A ^ -> Y v    g75911__2883
0.7203   0.6120   0.2272   Upper   A ^ -> Y v    add_1942_26_g2667
0.7203   0.6120   0.2565   Upper   A ^ -> Y v    g133973
0.7203   0.6120   0.2007   Upper   A ^ -> Y v    g76028
0.6288   0.6120   0.2696   Upper   A ^ -> Y v    add_1942_26_g2720
0.6288   0.6120   0.2554   Upper   A ^ -> Y v    add_1942_26_g2685
0.6288   0.6120   0.3525   Upper   A ^ -> Y v    FE_DBTC8_pcpi_rs1_30
0.6305   0.6120   0.2299   Upper   A ^ -> Y v    add_1942_26_g2712
0.6305   0.6120   0.1117   Upper   A ^ -> Y ^    add_1942_26_g2705
0.6305   0.6120   0.3565   Upper   A ^ -> Y v    FE_DBTC7_pcpi_rs1_29
0.6641   0.6120   0.2946   Upper   A ^ -> Y v    add_1942_26_g2702
0.6641   0.6120   0.3094   Upper   A ^ -> Y v    add_1942_26_g2682
0.6641   0.6120   0.3465   Upper   A ^ -> Y v    g76016
0.6899   0.6120   0.3046   Upper   A ^ -> Y v    add_1942_26_g2727
0.6899   0.6120   0.2622   Upper   A ^ -> Y v    add_1942_26_g2718
0.6899   0.6120   0.3550   Upper   A ^ -> Y v    g76029
0.6390   0.6120   0.2758   Upper   A ^ -> Y v    add_1942_26_g2731
0.6390   0.6120   0.0926   Upper   A ^ -> Y ^    add_1942_26_g2672
0.6390   0.6120   0.2884   Upper   A ^ -> Y v    g134201
0.0030   0.0168   0.5511   Lower   A v -> Y ^    g75984__5526
0.7146   0.6120   0.3586   Upper   A ^ -> Y v    add_1942_26_g2730
0.7146   0.6120   0.0876   Upper   A ^ -> Y ^    add_1942_26_g2714
0.7146   0.6120   0.1821   Upper   A ^ -> Y v    g134189
0.6790   0.6120   0.2999   Upper   A v -> Y ^    add_1942_26_g2716
0.6790   0.6120   0.3715   Upper   A v -> Y ^    add_1942_26_g2686
0.6790   0.6120   0.1869   Upper   A v -> Y ^    g134271
0.6417   0.6120   0.2729   Upper   A v -> Y ^    add_1942_26_g2680
0.6417   0.6120   0.2450   Upper   A v -> Y ^    add_1942_26_g2675
0.6418   0.6120   0.1758   Upper   A v -> Y ^    g134270
0.6561   0.6120   0.2522   Upper   A v -> Y ^    add_1942_26_g2719
0.6561   0.6120   0.2799   Upper   A v -> Y ^    add_1942_26_g2684
0.6561   0.6120   0.1753   Upper   A v -> Y ^    g134206
0.6150   0.6120   0.1696   Upper   A v -> Y ^    g134275
0.8107   0.6120   0.2099   Upper   A v -> Y ^    g134149
0.6149   0.6120   0.3376   Upper   A v -> Y ^    g133988
0.0030   0.0168   0.0788   Lower   A v -> Y ^    g133923
0.6423   0.6120   0.2734   Upper   S0 ^ -> Y v    sub_1313_38_Y_add_1313_58_g1752
0.8067   0.6120   0.3567   Upper   A v -> Y ^    g133728
0.8855   0.6120   0.4206   Upper   A v -> Y v    FE_OFC47_n_3642
0.6696   0.6120   0.2603   Upper   A ^ -> Y v    g134029
0.6696   0.6120   0.2536   Upper   A ^ -> Y v    g134027
0.8023   0.6120   0.3162   Upper   B v -> Y ^    g75837__5115
0.8298   0.6120   0.3513   Upper   A v -> Y ^    g134067
0.8298   0.6120   0.3275   Upper   A v -> Y ^    g134023
0.8361   0.6120   0.3587   Upper   A v -> Y ^    g134071
0.8361   0.6120   0.3050   Upper   A v -> Y ^    g134053
0.6612   0.6120   0.2713   Upper   A ^ -> Y v    g134037
0.6612   0.6120   0.2265   Upper   A ^ -> Y v    g134036
0.7203   0.6120   0.3055   Upper   A ^ -> Y v    g75998__5115
0.6641   0.6120   0.2370   Upper   A ^ -> Y v    g75991__1705
0.6899   0.6120   0.2625   Upper   A ^ -> Y v    g75995__7098
0.6423   0.6120   0.2664   Upper   B ^ -> Y v    g75989__1617
0.6390   0.6120   0.3533   Upper   A ^ -> Y v    g134049
0.8548   0.6120   0.0955   Upper   A v -> Y v    g75869__1881
0.8548   0.6120   0.0786   Upper   A v -> Y v    g75841__9315
0.8548   0.6120   0.0718   Upper   A v -> Y v    g75839__4733
0.8855   0.6120   0.1404   Upper   S0 v -> Y v    g133855
0.0072   0.0168   0.1075   Lower   A v -> Y v    g133855
0.6288   0.6120   0.2386   Upper   A ^ -> Y v    g75994__8246
0.6305   0.6120   0.2193   Upper   A ^ -> Y v    g75996__6131
0.7203   0.6120   0.2166   Upper   A0 ^ -> Y v    add_1942_26_g2662
0.8855   0.6120   0.1489   Upper   S0 v -> Y v    g133863
0.0083   0.0168   0.1165   Lower   A v -> Y v    g133863
0.6684   0.6120   0.4496   Upper   B ^ -> Y v    g133759
0.6684   0.6120   0.3455   Upper   B ^ -> Y v    g133880
0.8548   0.6120   0.0852   Upper   B v -> Y v    g75867__7098
0.8548   0.6120   0.0860   Upper   B v -> Y v    g75849__5477
0.6684   0.6120   0.3219   Upper   A ^ -> Y v    g133908
0.8548   0.6120   0.0790   Upper   A v -> Y v    g75838__7482
0.8548   0.6120   0.0814   Upper   B v -> Y v    g75868__6131
0.8548   0.6120   0.0756   Upper   B v -> Y v    g75850__2398
0.7384   0.6120   0.4064   Upper   B0 v -> Y ^    g75804__5122
0.7332   0.6120   0.3677   Upper   A0 v -> Y ^    g75804__5122
0.7384   0.6120   0.3952   Upper   B0 v -> Y ^    g75803__1705
0.7332   0.6120   0.3568   Upper   A0 v -> Y ^    g75803__1705
0.7384   0.6120   0.4557   Upper   B0 v -> Y ^    g75832__5122
0.7337   0.6120   0.4171   Upper   A0 v -> Y ^    g75832__5122
0.7384   0.6120   0.4267   Upper   B0 v -> Y ^    g75799__6783
0.7332   0.6120   0.3878   Upper   A0 v -> Y ^    g75799__6783
0.7384   0.6120   0.4595   Upper   B0 v -> Y ^    g75822__5107
0.7337   0.6120   0.4211   Upper   A0 v -> Y ^    g75822__5107
0.7384   0.6120   0.4769   Upper   B0 v -> Y ^    g75795__6260
0.7337   0.6120   0.4394   Upper   A0 v -> Y ^    g75795__6260
0.7384   0.6120   0.2981   Upper   B1 v -> Y ^    g75793__2398
0.7337   0.6120   0.2587   Upper   A1 v -> Y ^    g75793__2398
0.7384   0.6120   0.4491   Upper   B0 v -> Y ^    g75789__1666
0.7337   0.6120   0.4105   Upper   A0 v -> Y ^    g75789__1666
0.7384   0.6120   0.3267   Upper   B1 v -> Y ^    g75787__2883
0.7337   0.6120   0.2877   Upper   A1 v -> Y ^    g75787__2883
0.7384   0.6120   0.3163   Upper   B1 v -> Y ^    g75805__8246
0.7337   0.6120   0.2767   Upper   A1 v -> Y ^    g75805__8246
0.7337   0.6120   0.4263   Upper   B0 v -> Y ^    g75783__4733
0.7607   0.6120   0.3926   Upper   A0 v -> Y ^    g75783__4733
0.7337   0.6120   0.3985   Upper   B0 v -> Y ^    g75802__2802
0.7607   0.6120   0.3656   Upper   A0 v -> Y ^    g75802__2802
0.7337   0.6120   0.4374   Upper   B0 v -> Y ^    g75766__5107
0.7607   0.6120   0.4036   Upper   A0 v -> Y ^    g75766__5107
0.7337   0.6120   0.2772   Upper   B1 v -> Y ^    g75785__9315
0.7607   0.6120   0.2456   Upper   A1 v -> Y ^    g75785__9315
0.7607   0.6120   0.3924   Upper   B0 v -> Y ^    g75801__1617
0.7332   0.6120   0.3491   Upper   A0 v -> Y ^    g75801__1617
0.7607   0.6120   0.3825   Upper   B0 v -> Y ^    g75775__1705
0.7332   0.6120   0.3395   Upper   A0 v -> Y ^    g75775__1705
0.7607   0.6120   0.4060   Upper   B0 v -> Y ^    g75796__4319
0.7332   0.6120   0.3624   Upper   A0 v -> Y ^    g75796__4319
0.7607   0.6120   0.2335   Upper   B1 v -> Y ^    g75794__5107
0.7332   0.6120   0.2034   Upper   A1 v -> Y ^    g75794__5107
0.7607   0.6120   0.3509   Upper   B0 v -> Y ^    g75791__6417
0.7332   0.6120   0.3096   Upper   A0 v -> Y ^    g75791__6417
0.7607   0.6120   0.2915   Upper   B1 v -> Y ^    g75788__2346
0.7332   0.6120   0.2474   Upper   A1 v -> Y ^    g75788__2346
0.7607   0.6120   0.2527   Upper   B1 v -> Y ^    g75786__9945
0.7332   0.6120   0.2158   Upper   A1 v -> Y ^    g75786__9945
0.7384   0.6120   0.3306   Upper   B0 v -> Y ^    g75836__1881
0.7336   0.6120   0.2956   Upper   A0 v -> Y ^    g75836__1881
0.7384   0.6120   0.3247   Upper   B1 v -> Y ^    g75835__6131
0.7336   0.6120   0.2855   Upper   A1 v -> Y ^    g75835__6131
0.7384   0.6120   0.3167   Upper   B0 v -> Y ^    g75834__7098
0.7337   0.6120   0.2827   Upper   A0 v -> Y ^    g75834__7098
0.7384   0.6120   0.2363   Upper   B1 v -> Y ^    g75833__8246
0.7337   0.6120   0.2082   Upper   A1 v -> Y ^    g75833__8246
0.7384   0.6120   0.2925   Upper   B1 v -> Y ^    g75829__1617
0.7336   0.6120   0.2534   Upper   A1 v -> Y ^    g75829__1617
0.7384   0.6120   0.2935   Upper   B1 v -> Y ^    g75827__6783
0.7336   0.6120   0.2543   Upper   A1 v -> Y ^    g75827__6783
0.7384   0.6120   0.3740   Upper   B0 v -> Y ^    g75825__8428
0.7336   0.6120   0.3364   Upper   A0 v -> Y ^    g75825__8428
0.7384   0.6120   0.3226   Upper   B0 v -> Y ^    g75823__6260
0.7336   0.6120   0.2882   Upper   A0 v -> Y ^    g75823__6260
0.7384   0.6120   0.3308   Upper   B0 v -> Y ^    g75819__6417
0.7336   0.6120   0.2958   Upper   A0 v -> Y ^    g75819__6417
0.7384   0.6120   0.3670   Upper   B0 v -> Y ^    g75816__2346
0.7336   0.6120   0.3297   Upper   A0 v -> Y ^    g75816__2346
0.7384   0.6120   0.3008   Upper   B1 v -> Y ^    g75814__9945
0.7336   0.6120   0.2614   Upper   A1 v -> Y ^    g75814__9945
0.7384   0.6120   0.3436   Upper   B0 v -> Y ^    g75812__6161
0.7337   0.6120   0.3078   Upper   A0 v -> Y ^    g75812__6161
0.7384   0.6120   0.3367   Upper   B0 v -> Y ^    g75809__5115
0.7337   0.6120   0.3014   Upper   A0 v -> Y ^    g75809__5115
0.7384   0.6120   0.3178   Upper   B0 v -> Y ^    g75807__6131
0.7337   0.6120   0.2837   Upper   A0 v -> Y ^    g75807__6131
0.7384   0.6120   0.3566   Upper   B0 v -> Y ^    g75800__3680
0.7336   0.6120   0.3199   Upper   A0 v -> Y ^    g75800__3680
0.7384   0.6120   0.1187   Upper   B1 v -> Y v    g75792__5477
0.7336   0.6120   0.1184   Upper   A1 v -> Y v    g75792__5477
0.7384   0.6120   0.3045   Upper   B1 v -> Y ^    g75790__7410
0.7336   0.6120   0.2650   Upper   A1 v -> Y ^    g75790__7410
0.7607   0.6120   0.2625   Upper   B1 v -> Y ^    g75831__1705
0.7332   0.6120   0.2229   Upper   A1 v -> Y ^    g75831__1705
0.7607   0.6120   0.2528   Upper   B1 v -> Y ^    g75830__2802
0.7332   0.6120   0.2159   Upper   A1 v -> Y ^    g75830__2802
0.7607   0.6120   0.2619   Upper   B1 v -> Y ^    g75828__3680
0.7332   0.6120   0.2224   Upper   A1 v -> Y ^    g75828__3680
0.7607   0.6120   0.2847   Upper   B1 v -> Y ^    g75826__5526
0.7332   0.6120   0.2412   Upper   A1 v -> Y ^    g75826__5526
0.7607   0.6120   0.2181   Upper   B1 v -> Y ^    g75824__4319
0.7332   0.6120   0.1941   Upper   A1 v -> Y ^    g75824__4319
0.7607   0.6120   0.2221   Upper   B1 v -> Y ^    g75821__2398
0.7332   0.6120   0.1964   Upper   A1 v -> Y ^    g75821__2398
0.7607   0.6120   0.2239   Upper   B1 v -> Y ^    g75820__5477
0.7332   0.6120   0.1975   Upper   A1 v -> Y ^    g75820__5477
0.7607   0.6120   0.2236   Upper   B1 v -> Y ^    g75818__7410
0.7332   0.6120   0.1973   Upper   A1 v -> Y ^    g75818__7410
0.7607   0.6120   0.2210   Upper   B1 v -> Y ^    g75817__1666
0.7332   0.6120   0.1958   Upper   A1 v -> Y ^    g75817__1666
0.7607   0.6120   0.2200   Upper   B1 v -> Y ^    g75815__2883
0.7332   0.6120   0.1952   Upper   A1 v -> Y ^    g75815__2883
0.7607   0.6120   0.2252   Upper   B1 v -> Y ^    g75813__9315
0.7332   0.6120   0.1983   Upper   A1 v -> Y ^    g75813__9315
0.7607   0.6120   0.2187   Upper   B1 v -> Y ^    g75811__4733
0.7332   0.6120   0.1944   Upper   A1 v -> Y ^    g75811__4733
0.7607   0.6120   0.2218   Upper   B1 v -> Y ^    g75810__7482
0.7332   0.6120   0.1963   Upper   A1 v -> Y ^    g75810__7482
0.7607   0.6120   0.2229   Upper   B1 v -> Y ^    g75808__1881
0.7332   0.6120   0.1969   Upper   A1 v -> Y ^    g75808__1881
0.7607   0.6120   0.2212   Upper   B1 v -> Y ^    g75806__7098
0.7332   0.6120   0.1959   Upper   A1 v -> Y ^    g75806__7098
0.7607   0.6120   0.2269   Upper   B1 v -> Y ^    g75784__6161
0.7332   0.6120   0.1993   Upper   A1 v -> Y ^    g75784__6161
0.7280   0.6120   0.3641   Upper   A v -> Y ^    g134070
0.7280   0.6120   0.2555   Upper   B v -> Y ^    g133729
0.6149   0.6120   0.5221   Upper   A v -> Y ^    g133983
0.6722   0.6120   0.1153   Upper   AN ^ -> Y ^    g134401
0.6722   0.6120   0.5316   Upper   A ^ -> Y ^    g133766
0.7203   0.6120   0.2143   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1675
0.6288   0.6120   0.2695   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1713
0.6288   0.6120   0.2376   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1691
0.6305   0.6120   0.1090   Upper   A ^ -> Y ^    sub_1313_38_Y_add_1313_58_g1714
0.6305   0.6120   0.2462   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1683
0.6641   0.6120   0.2941   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1725
0.6641   0.6120   0.2513   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1711
0.6899   0.6120   0.2572   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1716
0.6899   0.6120   0.2729   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1690
0.6378   0.6120   0.2437   Upper   B0 ^ -> Y v    g75630__2883
0.8548   0.6120   0.4758   Upper   B0 v -> Y ^    g75735__4319
0.8758   0.6120   0.5977   Upper   C ^ -> Y v    g75887__5526
0.8758   0.6120   0.6402   Upper   C ^ -> Y v    g75886__8428
0.0089   0.0168   0.1762   Lower   A v -> Y ^    g75798__5526
0.6722   0.6120   0.1097   Upper   B0 ^ -> Y ^    g133553
0.6723   0.6120   0.0879   Upper   B0 ^ -> Y ^    g133524
0.6720   0.6120   0.4203   Upper   B ^ -> Y v    g133499
0.7013   0.6120   0.1689   Upper   B ^ -> Y v    g134402
0.6377   0.6120   0.2090   Upper   A ^ -> Y ^    FE_OFC59_n_3182
0.0092   0.0168   0.0551   Lower   A v -> Y v    g133777
0.0069   0.0168   0.1173   Lower   A v -> Y v    g133896
0.0071   0.0168   0.3526   Lower   A v -> Y ^    g133882
0.0065   0.0168   0.3607   Lower   A v -> Y ^    g133884
0.0067   0.0168   0.2663   Lower   A v -> Y ^    g133870
0.6149   0.6120   0.3593   Upper   A v -> Y ^    g134076
0.6138   0.6120   0.5203   Upper   A ^ -> Y v    g75892__2802
0.6138   0.6120   0.2126   Upper   A ^ -> Y v    g75897
0.8758   0.6120   0.3396   Upper   A ^ -> Y v    g75859__2802
0.8758   0.6120   0.3448   Upper   A ^ -> Y v    g75858__1617
0.8758   0.6120   0.3913   Upper   B ^ -> Y v    g75854__8428
0.7330   0.6120   0.2660   Upper   A ^ -> Y v    g133640
0.6378   0.6120   0.2208   Upper   B ^ -> Y v    g133958
0.6684   0.6120   0.1730   Upper   A ^ -> Y ^    g133475
0.6684   0.6120   0.1577   Upper   A ^ -> Y ^    g133456
0.8758   0.6120   0.3905   Upper   B ^ -> Y v    g75871__7482
0.8758   0.6120   0.3557   Upper   B ^ -> Y v    g75855__5526
0.6984   0.6120   0.2264   Upper   S0 ^ -> Y v    g133598
0.8758   0.6120   0.3971   Upper   B ^ -> Y v    g75853__4319
0.8758   0.6120   0.3540   Upper   B ^ -> Y v    g75870__5115
0.8758   0.6120   0.3553   Upper   B ^ -> Y v    g75857__3680
0.6984   0.6120   0.0619   Upper   A ^ -> Y v    g134394
0.7607   0.6120   0.5297   Upper   B1 v -> Y ^    g75728__1666
0.7332   0.6120   0.5098   Upper   A1 v -> Y ^    g75728__1666
0.7819   0.6120   0.2056   Upper   A ^ -> Y v    g134003
0.6974   0.6120   0.2567   Upper   A1 ^ -> Y v    g133514
0.8758   0.6120   0.2305   Upper   A ^ -> Y v    g75951
0.6149   0.6120   0.2622   Upper   B v -> Y ^    g75738__6783
0.6975   0.6120   0.2303   Upper   B ^ -> Y v    g3
0.6378   0.6120   0.2365   Upper   B ^ -> Y v    g133960
0.6378   0.6120   0.8032   Upper   A ^ -> Y v    g134212
0.6797   0.6120   0.2520   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1720
0.6797   0.6120   0.3127   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1694
0.8023   0.6120   0.1549   Upper   S0 v -> Y v    sub_1313_38_Y_add_1313_58_g1743
0.8107   0.6120   0.1578   Upper   S0 v -> Y v    sub_1313_38_Y_add_1313_58_g1741
0.8361   0.6120   0.1582   Upper   S0 v -> Y v    sub_1313_38_Y_add_1313_58_g1765
0.8298   0.6120   0.1721   Upper   S0 v -> Y v    sub_1313_38_Y_add_1313_58_g1763
0.6150   0.6120   0.2643   Upper   A v -> Y ^    sub_1313_38_Y_add_1313_58_g1726
0.6150   0.6120   0.2497   Upper   A v -> Y ^    sub_1313_38_Y_add_1313_58_g1708
0.6561   0.6120   0.3782   Upper   A v -> Y ^    sub_1313_38_Y_add_1313_58_g1736
0.6561   0.6120   0.3030   Upper   A v -> Y ^    sub_1313_38_Y_add_1313_58_g1688
0.6418   0.6120   0.1331   Upper   A v -> Y v    sub_1313_38_Y_add_1313_58_g1839
0.6418   0.6120   0.2760   Upper   A v -> Y ^    sub_1313_38_Y_add_1313_58_g1697
0.6390   0.6120   0.1075   Upper   A ^ -> Y ^    sub_1313_38_Y_add_1313_58_g1712
0.6390   0.6120   0.2523   Upper   A ^ -> Y v    sub_1313_38_Y_add_1313_58_g1684
0.6790   0.6120   0.2916   Upper   A v -> Y ^    sub_1313_38_Y_add_1313_58_g1689
0.6790   0.6120   0.2713   Upper   A v -> Y ^    sub_1313_38_Y_add_1313_58_g1686
0.7203   0.6120   0.2026   Upper   A0 ^ -> Y v    sub_1313_38_Y_add_1313_58_g1667
0.8032   0.6120   0.8396   Upper   B v -> Y v    g134091
0.6150   0.6120   0.2029   Upper   A v -> Y ^    g133793
0.6561   0.6120   0.2038   Upper   A v -> Y ^    g133794
0.6418   0.6120   0.1977   Upper   A v -> Y ^    g133795
0.6790   0.6120   0.2070   Upper   A v -> Y ^    g133797
0.6390   0.6120   0.2151   Upper   A ^ -> Y v    g133834
0.6797   0.6120   0.2187   Upper   A ^ -> Y v    g133799
0.8023   0.6120   0.2293   Upper   B v -> Y ^    g133796
0.6696   0.6120   0.2102   Upper   A ^ -> Y v    g133796
0.7146   0.6120   0.2133   Upper   A ^ -> Y v    g133798
0.8107   0.6120   0.2365   Upper   B v -> Y ^    g133800
0.6612   0.6120   0.2153   Upper   A ^ -> Y v    g133800
0.6272   0.6120   0.2118   Upper   B ^ -> Y v    g133833
0.8361   0.6120   0.2449   Upper   A v -> Y ^    g133833
0.6618   0.6120   0.2239   Upper   B ^ -> Y v    g133826
0.8298   0.6120   0.2341   Upper   B v -> Y ^    g133840
0.6698   0.6120   0.2144   Upper   A ^ -> Y v    g133828
0.6387   0.6120   0.1580   Upper   A ^ -> Y v    g67009
0.6402   0.6120   0.2508   Upper   C v -> Y ^    g75734__6260
0.8548   0.6120   0.3140   Upper   A v -> Y ^    g75734__6260
0.6402   0.6120   0.1951   Upper   A v -> Y ^    g75865
0.6402   0.6120   0.3922   Upper   B v -> Y ^    g75771__6783
0.6150   0.6120   0.2272   Upper   A1 v -> Y ^    g133819
0.6561   0.6120   0.2331   Upper   A1 v -> Y ^    g133817
0.6418   0.6120   0.2243   Upper   A1 v -> Y ^    g133816
0.6790   0.6120   0.2319   Upper   A1 v -> Y ^    g133807
0.6390   0.6120   0.1636   Upper   A0 ^ -> Y v    g133811
0.6797   0.6120   0.1768   Upper   A0 ^ -> Y v    g133814
0.7146   0.6120   0.1973   Upper   A1 ^ -> Y v    g133810
0.6696   0.6120   0.1901   Upper   A1 ^ -> Y v    g133815
0.8023   0.6120   0.2402   Upper   A0 v -> Y ^    g133815
0.6612   0.6120   0.1824   Upper   A1 ^ -> Y v    g133813
0.8107   0.6120   0.2343   Upper   A0 v -> Y ^    g133813
0.6272   0.6120   0.1858   Upper   A1 ^ -> Y v    g133824
0.8361   0.6120   0.2511   Upper   A0 v -> Y ^    g133824
0.6618   0.6120   0.1864   Upper   A1 ^ -> Y v    g133812
0.8298   0.6120   0.2589   Upper   A0 v -> Y ^    g133818
0.6698   0.6120   0.1809   Upper   A1 ^ -> Y v    g133825
0.8067   0.6120   0.2221   Upper   A v -> Y ^    g132970
0.0069   0.0168   0.5592   Lower   A v -> Y ^    g133900
0.6149   0.6120   0.8164   Upper   A1 v -> Y ^    g133310
0.6482   0.6120   0.4331   Upper   B v -> Y ^    g133274
0.6378   0.6120   0.2165   Upper   D ^ -> Y v    g133179
0.6482   0.6120   0.3741   Upper   C v -> Y ^    g133179
0.6378   0.6120   0.2239   Upper   B1 ^ -> Y v    g133078
0.8032   0.6120   0.2106   Upper   A2 v -> Y ^    g133078
0.7330   0.6120   0.2997   Upper   A0 ^ -> Y v    g132941
0.8032   0.6120   0.2678   Upper   D v -> Y ^    g133512
0.6378   0.6120   0.2235   Upper   B1 ^ -> Y v    g133080
0.8032   0.6120   0.2102   Upper   A2 v -> Y ^    g133080
0.6378   0.6120   0.2253   Upper   B1 ^ -> Y v    g133076
0.8032   0.6120   0.2118   Upper   A2 v -> Y ^    g133076
0.6378   0.6120   0.2307   Upper   B1 ^ -> Y v    g133102
0.8032   0.6120   0.2169   Upper   A2 v -> Y ^    g133102
