# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.6389   0.6120   0.0926   Upper   A ^ -> Y ^    add_1942_26_g2672
0.6389   0.6120   0.2883   Upper   A ^ -> Y v    g134201
0.0030   0.0168   0.4326   Lower   A v -> Y ^    g75984__5526
0.7145   0.6120   0.3586   Upper   A ^ -> Y v    add_1942_26_g2730
0.7145   0.6120   0.0876   Upper   A ^ -> Y ^    add_1942_26_g2714
0.7145   0.6120   0.1821   Upper   A ^ -> Y v    g134189
0.6789   0.6120   0.2999   Upper   A v -> Y ^    add_1942_26_g2716
0.6789   0.6120   0.3715   Upper   A v -> Y ^    add_1942_26_g2686
0.6789   0.6120   0.1869   Upper   A v -> Y ^    g134271
0.6416   0.6120   0.2729   Upper   A v -> Y ^    add_1942_26_g2680
0.6416   0.6120   0.2449   Upper   A v -> Y ^    add_1942_26_g2675
0.6417   0.6120   0.1758   Upper   A v -> Y ^    g134270
0.6560   0.6120   0.2522   Upper   A v -> Y ^    add_1942_26_g2719
0.6560   0.6120   0.2798   Upper   A v -> Y ^    add_1942_26_g2684
0.6560   0.6120   0.1753   Upper   A v -> Y ^    g134206
0.6149   0.6120   0.1696   Upper   A v -> Y ^    g134275
0.8025   0.6120   0.2083   Upper   A v -> Y ^    g134149
0.6149   0.6120   0.3376   Upper   A v -> Y ^    g133988
0.0030   0.0168   0.0788   Lower   A v -> Y ^    g133923
0.6309   0.6120   0.2705   Upper   S0 ^ -> Y v    sub_1313_38_Y_add_1313_58_g1752
0.8067   0.6120   0.3567   Upper   A v -> Y ^    g133728
0.6928   0.6120   0.3523   Upper   A v -> Y v    FE_OFC47_n_3642
0.6695   0.6120   0.2603   Upper   A ^ -> Y v    g134029
0.6695   0.6120   0.2536   Upper   A ^ -> Y v    g134027
0.7940   0.6120   0.3139   Upper   B v -> Y ^    g75837__5115
0.8215   0.6120   0.3489   Upper   A v -> Y ^    g134067
0.8215   0.6120   0.3260   Upper   A v -> Y ^    g134023
0.8278   0.6120   0.3563   Upper   A v -> Y ^    g134071
0.8278   0.6120   0.3034   Upper   A v -> Y ^    g134053
0.6611   0.6120   0.2713   Upper   A ^ -> Y v    g134037
0.6611   0.6120   0.2265   Upper   A ^ -> Y v    g134036
0.7203   0.6120   0.3055   Upper   A ^ -> Y v    g75998__5115
0.6640   0.6120   0.2369   Upper   A ^ -> Y v    g75991__1705
0.6898   0.6120   0.2625   Upper   A ^ -> Y v    g75995__7098
0.6309   0.6120   0.2636   Upper   B ^ -> Y v    g75989__1617
0.6389   0.6120   0.3533   Upper   A ^ -> Y v    g134049
0.8448   0.6120   0.0951   Upper   A v -> Y v    g75869__1881
0.8448   0.6120   0.0782   Upper   A v -> Y v    g75841__9315
0.8448   0.6120   0.0714   Upper   A v -> Y v    g75839__4733
0.6928   0.6120   0.1314   Upper   S0 v -> Y v    g133855
0.0072   0.0168   0.1075   Lower   A v -> Y v    g133855
0.6287   0.6120   0.2386   Upper   A ^ -> Y v    g75994__8246
0.6304   0.6120   0.2193   Upper   A ^ -> Y v    g75996__6131
0.7203   0.6120   0.2006   Upper   A0 ^ -> Y v    add_1942_26_g2662
0.6928   0.6120   0.1400   Upper   S0 v -> Y v    g133863
0.0083   0.0168   0.1165   Lower   A v -> Y v    g133863
0.6656   0.6120   0.4489   Upper   B ^ -> Y v    g133759
0.6656   0.6120   0.3448   Upper   B ^ -> Y v    g133880
0.8448   0.6120   0.0847   Upper   B v -> Y v    g75867__7098
0.8448   0.6120   0.0856   Upper   B v -> Y v    g75849__5477
0.6656   0.6120   0.3211   Upper   A ^ -> Y v    g133908
0.8448   0.6120   0.0785   Upper   A v -> Y v    g75838__7482
0.8448   0.6120   0.0809   Upper   B v -> Y v    g75868__6131
0.8448   0.6120   0.0751   Upper   B v -> Y v    g75850__2398
0.7293   0.6120   0.3469   Upper   B0 v -> Y ^    g75804__5122
0.7229   0.6120   0.3265   Upper   A0 v -> Y ^    g75804__5122
0.7293   0.6120   0.3379   Upper   B0 v -> Y ^    g75803__1705
0.7229   0.6120   0.3185   Upper   A0 v -> Y ^    g75803__1705
0.7293   0.6120   0.3870   Upper   B0 v -> Y ^    g75832__5122
0.7242   0.6120   0.3625   Upper   A0 v -> Y ^    g75832__5122
0.7293   0.6120   0.3635   Upper   B0 v -> Y ^    g75799__6783
0.7229   0.6120   0.3412   Upper   A0 v -> Y ^    g75799__6783
0.7293   0.6120   0.3900   Upper   B0 v -> Y ^    g75822__5107
0.7242   0.6120   0.3653   Upper   A0 v -> Y ^    g75822__5107
